
Simplified 简体	Traditional 繁体	Pinyin 拼音	English 英文	Grammar 语法	Notes 注释
茂密		màomì	dense / lush	Adjective 形容词	Of plant growth
茂盛		màoshèng	lush	Adjective 形容词	
闷		mēn	stuffy	Adjective 形容词	
藐		miǎo	small / petty	Adjective 形容词	
冥		míng	dark / deep	Adjective 形容词	
明快		míng kuài	lucid and lively / forthright	Adjective 形容词	
敏感		mǐngǎn	sensitive / susceptible	Adjective 形容词	
名贵	名貴	míngguì	famous and valuable / rare / precious	Adjective 形容词	
明确	明確	míngquè	clear-cut / definite	Adjective 形容词	
明细	明細	míngxì	clear and detailed	Adjective 形容词	
明显	明顯	míngxiǎn	clear / distinct / obvious	Adjective 形容词	
名义	名義	míngyì	in name only / titular	Adjective 形容词	
名优	名優	míngyōu	outstanding / excellent	Adjective 形容词	
敏锐	敏銳	mǐnruì	keen / sharp / acute	Adjective 形容词	
密切		mìqiè	close / familiar / intimate	Adjective 形容词	
耐		nài	to be capable to tolerate	Verb 动词	
耐久		nàijiǔ	durable / long-lasting	Adjective 形容词	
耐用		nàiyòng	durable	Adjective 形容词	
难	難	nán	hardly possible	Adverb 副词	
难怪	難怪	nánguài	to be understandable	Verb 动词	
难看	難看	nánkàn	ugly / unsightly	Adjective 形容词	
难以	難以	nányǐ	hard to	Adverb 副词	
男子汉	男子漢	nánzǐhàn	masculine	Adjective 形容词	
内在	內在	nèizài	intrinsic / innate	Adjective 形容词	
嫩		nèn	tender / soft	Adjective 形容词	
能干	能幹	nénggàn	capable / competent	Adjective 形容词	
能量		néngliàng	capability	Noun 名词	
粘		nián	sticky	Adjective 形容词	
粘度		niándù	viscosity	Noun 名词	
袅	裊	niǎo	delicate / graceful	Noun 名词	
逆反		nìfǎn	rebellious / opposite	Adjective 形容词	
拧	擰	nǐng	awkward / difficult	Adjective 形容词	
浓	濃	nóng	concentrated / dense	Adjective 形容词	
浓烈	濃烈	nóngliè	strong	Adjective 形容词	For taste, flavor, or smell
浓郁	濃鬱	nóngyù	dense / rich	Adjective 形容词	
浓郁	濃郁	nóngyù	rich / strong / dense / full-bodied / intense	Adjective 形容词	
浓重	濃重	nóngzhòng	dense	Adjective 形容词	
暖和		nuǎnhuo	warm	Adjective 形容词	
虐		nüè	oppressive / tyrannical	Adjective 形容词	
排场	排場	páichang	ostentation / a show of extravagance / grand style / red tape	Noun 名词	
蓬		péng	disheveled	Adjective 形容词	
蓬勃		péngbó	vigorous / flourishing	Adjective 形容词	
否		pǐ	clogged / evil	Adjective 形容词	
便		pián	cheap / advantageous	Adjective 形容词	
拼	拚	pīn	adventurous	Adjective 形容词	
平		píng	calm / peaceful	Adjective 形容词	
平稳	平穩	píngwěn	smooth / steady	Adjective 形容词	
平易		píngyì	amiable / unassuming / written in plain language	Adjective 形容词	
平庸		píngyōng	mediocre / indifferent / commonplace	Adjective 形容词	
品质	品質	pǐnzhì	quality	Noun 名词	
破烂	破爛	pòlàn	ragged	Adjective 形容词	
普		pǔ	general / popular / everywhere / universal	Adjective 形容词	
朴	樸	pǔ	plain and simple	Adjective 形容词	
普遍		pǔbiàn	universal / general / widespread / commonplace	Adjective 形容词	
朴实	樸實	pǔshí	plain / sober / down-to-earth	Adjective 形容词	
朴素	樸素	pǔsù	plain and simple / unadorned	Adjective 形容词	
普通		pǔtōng	common / ordinary	Adjective 形容词	
恰当	恰當	qiàdàng	appropriate / suitable	Adjective 形容词	
浅	淺	qiǎn	superficial	Adjective 形容词	
呛	嗆	qiàng	pungent	Adjective 形容词	
强大	強大	qiángdà	formidable / powerful / strong	Adjective 形容词	
强劲	強勁	qiángjìng	powerful	Adjective 形容词	
强力	強力	qiánglì	powerful	Adjective 形容词	
强烈	強烈	qiángliè	intense	Adjective 形容词	
强势	強勢	qiángshì	strong / mighty	Adjective 形容词	
强有力	強有力	qiángyǒulì	strong / vigorous	Adjective 形容词	
奇怪		qíguài	strange / odd	Adjective 形容词	
起劲	起勁	qǐjìn	energetic	Adjective 形容词	
轻	輕	qīng	to be frivolous / to not attach sufficient importance to something	Verb 动词	
清		qīng	clear / distinct / complete / pure	Adjective 形容词	
清白		qīngbái	pure	Adjective 形容词	
轻便	輕便	qīngbiàn	light / portable / handy	Adjective 形容词	
清高		qīnggāo	noble and virtuous	Adjective 形容词	
清洁	清潔	qīngjié	clean / pure	Adjective 形容词	
清净	清凈	qīngjìng	peaceful / quiet / tranquil / pure	Adjective 形容词	There are two different traditional forms of this word: 清淨 and 清凈
清净	清淨	qīngjìng	peaceful / quiet / tranquil / purified of defiling illusion	Adjective 形容词	There are two different traditional forms of this word: 清淨 and 清凈
轻狂	輕狂	qīngkuáng	frivolous	Adjective 形容词	
清朗		qīnglǎng	clear and bright / unclouded / clear and sonorous	Adjective 形容词	
轻率	輕率	qīngshuài	hasty	Adjective 形容词	
清爽		qīngshuǎng	fresh and cool	Adjective 形容词	
亲自	 親自	qīnzì	personally	Adverb 副词	
其实	其實	qíshí	actually / in fact / really	Adverb 副词	
气势	氣勢	qìshì	momentum / manner / energy / look of great force or imposing manner	Noun 名词	
遒		qiú	consolidated / strong	Adjective 形容词	
遒劲	遒勁	qiújìn	vigorous	Adjective 形容词	
奇异		qíyì	unusual / strange	Adjective 形容词	
奇异	奇異	qíyì	fantastic / bizarre / odd / astonishing	Adjective 形容词	
全面		quánmiàn	all aspects / comprehensive	Adjective 形容词	
全能		quánnéng	omnipotent / all-round	Adjective 形容词	
缺点	缺點	quēdiǎn	weak point / fault / shortcoming	Noun 名词	
确实	確實	quèshí	reliable / real / true	Adjective 形容词	
确实	確實	quèshí	indeed / really	Adverb 副词	
缺陷		quēxiàn	a defect / a flaw	Noun 名词	
然		rán	correct / right	Adjective 形容词	
饶	饒	ráo	rich / abundant / exuberant	Adjective 形容词	
韧	韌	rèn	annealed / tough / tenacious	Adjective 形容词	
热闹	熱鬧	rènao	bustling with noise and excitement / lively	Adjective 形容词	
人工		réngōng	artificial	Adjective 形容词	
人造		rénzào	man-made / artificial / synthetic	Adjective 形容词	
容易		róngyì	easy	Adjective 形容词	
柔		róu	soft / flexible / supple / yielding	Adjective 形容词	
柔和		róuhé	gentle	Adjective 形容词	
柔软	柔軟	róuruǎn	soft	Adjective 形容词	
柔顺	柔順	róushùn	gentle and agreeable / supple / yielding	Adjective 形容词	
锐	銳	ruì	acute	Adjective 形容词	
如意		rúyì	satisfactory	Adjective 形容词	
色彩		sècǎi	tone / character	Noun 名词	
奢		shē	extravagant	Adjective 形容词	
奢侈		shēchǐ	luxurious	Adjective 形容词	
奢靡		shēmí	extravagant	Adjective 形容词	
审	審	shěn	careful	Verb 动词	
神采		shéncǎi	an expression	Noun 名词	
盛		shèng	flourishing	Adjective 形容词	
盛大		shèngdà	grand / majestic / magnificent	Adjective 形容词	
生动	生動	shēngdòng	vivid	Adjective 形容词	
神秘	神祕	shénmì	mysterious	Adjective 形容词	
湿	濕	shī	moist / wet	Adjective 形容词	
实惠	實惠	shíhuì	tangible benefit / material advantages	Noun 名词	
实际上	實際上	shíjìshàng	in fact / in reality / in practice	Adjective 形容词	
失调	失調	shītiáo	imbalance / out of tune	Noun 名词	
势头	勢頭	shìtóu	momentum / tendency	Adjective 形容词	
实用	實用	shíyòng	practical / useful	Adjective 形容词	
适用性		shìyòngxìng	suitability	Noun 名词	
受损	受損	shòusǔn	damaged	Adjective 形容词	
帅	帥	shuài	handsome / graceful / smart	Adjective 形容词	
帅	帥	shuài	commander in chief	Noun 名词	
顺便	順便	shùnbiàn	conveniently / in passing	Adverb 副词	
顺畅	順暢	shùnchàng	fluent / smooth	Adjective 形容词	
顺利	順利	shùnlì	smoothly / without a hitch	Adverb 副词	
顺手	順手	shùnshǒu	handy / convenient	Adjective 形容词	
硕	碩	shuò	great / eminent	Adjective 形容词	
帅	帥	shuò	commander in chief	Noun 名词	
舒适	舒適	shūshì	cozy / snug	Adjective 形容词	
属性	屬性	shǔxìng	attribute / property	Noun 名词	
厶		sī	private / secret	Adjective 形容词	
似乎		sìhū	seemly / apparently	Adverb 副词	
松	鬆	sōng	loose	Adjective 形容词	
素		sù	plain / white	Adjective 形容词	
碎		suì	fragmentary	Adjective 形容词	
琐	瑣	suǒ	fragmentary / trifling	Adjective 形容词	
所需		suǒxū	necessary / required	Adjective 形容词	
素质	素質	sùzhì	inner quality / basic essence	Noun 名词	
泰		tài	safe / peaceful / most / grand	Adjective 形容词	
